"","X","CD.Name","Common.Name","NS.Probe.ID","Class.Name","Gene.Class","Cell.Type","CT.antigen","surface.marker","is.HK","IR.Innate","IR.Adaptive","IR.Humoral","IR.F","Adhesion","Antigen.Processing","B.Cell.Functions","Cell.Cycle","Cell.Functions","Chemokines","Complement","Cytokines","Cytotoxicity","Interleukins","Leukocyte.Functions","Macrophage.Functions","Microglial.Functions","NK.Cell.Functions","Pathogen.Defense","Regulation","Senescence","T.Cell.Functions","TLR","TNF.Super.family","Transporter.Functions","Immune.Response.Category","Annotation","Synonyms...Previous.Symbols","IR.Type","Cell.Type.April","Cell.Type.TCGA2"
"AMMECR1L",15,NA,"AMMECR1L","NM_001199140.1:3564","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","MGC4268",NA,NA,NA
"ANP32B",16,NA,"APRIL","NM_006401.2:660","Endogenous","Immune Response - Cell Type specific","T helper cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","SSP29, PHAPI2, APRIL",NA,NA,NA
"ANXA1",17,NA,"ANXA1","NM_000700.1:515","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","Phagocytosis recognition and engulfment","ANX1, LPC1",NA,NA,NA
"APOE",18,NA,"APOE","NM_000041.2:96","Endogenous","Immune Response - Cell Type specific","Macrophages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","Cell Type specific, Lipid transporter activity","AD2",NA,NA,NA
"APP",19,NA,"APP","NM_000484.3:1725","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","AD1","I",NA,NA
"ARG1",20,NA,"ARG1","NM_000045.2:505","Endogenous","Immune Response","MDSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Response to drug","",NA,NA,NA
"ARG2",21,NA,"ARG2","NM_001172.3:1150","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Response to drug","",NA,NA,NA
"ATF1",22,NA,"ATF1","NM_005171.2:710","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","TREB36","I",NA,NA
"ATF2",23,NA,"ATF2","NM_001256090.1:336","Endogenous","Immune Response","T helper cells",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","CREB2, TREB7, CRE-BP1, HB16","I","T helper cells",NA
"ATG10",24,NA,"ATG10","NM_001131028.1:985","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","Genes responsible for protein transport","APG10L, DKFZP586I0418, FLJ13954",NA,NA,NA
"ATG12",25,NA,"ATG12","NM_004707.2:25","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","APG12L, APG12","I",NA,NA
"ATG16L1",26,NA,"ATG16L1","NM_198890.2:1975","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","Autophagic vacuole formation, Genes responsible for protein transport","APG16L, ATG16L, WDR30, FLJ10035, ATG16A",NA,NA,NA
"ATG5",27,NA,"ATG5","NM_004849.2:1104","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","APG5L, ASP, APG5, hAPG5","I",NA,NA
"ATG7",28,NA,"ATG7","NM_001136031.2:810","Endogenous","Immune Response","Macrophages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","Genes responsible for protein transport, Protein ubiquitination","APG7L, GSA7, DKFZp434N0735",NA,NA,NA
"ATM",29,NA,"ATM","NM_000051.3:30","Endogenous","Immune Response - Cell Type specific","Tcm",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Cycle","Cell Type specific, DNA damage checkpoint, Induction of apoptosis","ATA, ATDC, ATC, ATD, TEL1, TELO1",NA,"Tcm",NA
"AXL",30,NA,"AXL","NM_021913.2:2190","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","UFO, JTK11","I",NA,NA
"BAGE",31,NA,"BAGE","NM_001187.1:399","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CT2.1, BAGE1",NA,NA,NA
"BATF",32,NA,"BATF","NM_006399.3:293","Endogenous","Immune Response - Cell Type specific","T helper cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","B-ATF, SFA-2, BATF1",NA,NA,NA
"BAX",33,NA,"BAX","NM_138761.3:342","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Cell Cycle, Regulation","Co-Regulators of autophagy and apoptosis/cell cycle","BCL2L4",NA,NA,NA
"BCL10",34,NA,"BCL10","NM_003921.2:1250","Endogenous","Immune Response",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, Innate immune response","CARMEN, CIPER, mE10, c-E10, CLAP","A;I",NA,NA
"BCL2",35,NA,"BCL2","NM_000657.2:947","Endogenous","Immune Response - Cell Type specific","NK cells",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Cycle","Cell Type specific, G1/S transition of mitotic cell cycle","Bcl-2, PPP1R50",NA,NA,NA
"BCL2L1",36,NA,"Bcl-X","NM_001191.2:260","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","BCLX, BCL2L, Bcl-X, bcl-xL, bcl-xS, PPP1R52","I",NA,NA
"BCL6",37,NA,"BCL6","NM_001706.2:675","Endogenous","Immune Response - Cell Type specific",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Cell Type specific, Regulation of immune response","ZNF51, ZBTB27, LAZ3, BCL5, BCL6A",NA,NA,NA
"BID",38,NA,"BID","NM_001196.2:1875","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Cell Cycle, Regulation","Co-Regulators of autophagy and apoptosis/cell cycle","",NA,NA,NA
"BIRC5",39,NA,"survivin","NM_001168.2:1215","Endogenous","Immune Response","Th2 cells",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Cycle","G2 phase and G2/M transition","API4, EPR-1, survivin",NA,NA,NA
"BLK",40,NA,"BLK","NM_001715.2:990","Endogenous","Immune Response - Cell Type specific","B-cells",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B-Cell Functions","B-cell receptor signaling pathway, Cell Type specific","MGC10442",NA,"B-cells","B-cells"
"BLNK",41,NA,"bca","NM_013314.2:930","Endogenous","Immune Response","B-cells",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","SLP65, Ly57, SLP-65, BLNK-s, BASH, bca","H",NA,NA
"BMI1",42,NA,"BMI1","NM_005180.5:1145","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","PCGF4, RNF51","H",NA,NA
"BST1",43,"CD157","BST1","NM_004334.2:710","Endogenous","Immune Response","Neutrophils",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules, Humoral immune response","CD157","H",NA,NA
"BST2",44,"CD317","BST2","NM_004335.2:560","Endogenous","Immune Response","Th1 cells",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules, Humoral immune response, Innate immune response","CD317, tetherin","H;I",NA,NA
"BTK",45,NA,"BTK","NM_000061.1:570","Endogenous","Immune Response",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, Innate immune response","AGMX1, IMD1, ATK, XLA, PSCTK1","A;I",NA,NA
"BTLA",46,"CD272","BTLA","NM_181780.2:305","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, CD molecules","BTLA1, CD272",NA,NA,NA
"C1QA",47,NA,"C1QA","NM_015991.2:718","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C1QB",48,NA,"C1QB","NM_000491.3:819","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C1QBP",49,NA,"p32","NM_001212.3:745","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","CD molecules, Chemokines and receptors, Inflammatory response","HABP1, gC1Q-R, gC1qR, p32, SF2p32","F",NA,NA
"C1R",50,NA,"C1R","NM_001733.4:760","Endogenous","Immune Response","Normal mucosa",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I","Normal mucosa",NA
"C1S",51,NA,"C1S","NM_001734.2:775","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C2",52,NA,"C2","NM_000063.3:1075","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Innate immune response","","I",NA,NA
"C3",53,NA,"C3","NM_000064.2:4396","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Innate immune response, Regulation of immune response","CPAMD1, ARMD9, C3a, C3b","I",NA,NA
"C3AR1",54,NA,"C3AR","NM_004054.2:415","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Regulation of inflammatory response","C3AR, AZ3B","F",NA,NA
"C4B",55,NA,"C4B","NM_001002029.3:4437","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","CPAMD3, C4F, CO4, C4B1, C4B3, CH","I",NA,NA
"C4BPA",56,NA,"C4BP","NM_000715.3:690","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","C4BP","I",NA,NA
"C5",57,NA,"C5","NM_001735.2:2592","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","CPAMD4, C5a, C5b","I",NA,NA
"C6",58,NA,"C6","NM_000065.2:3170","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C7",59,NA,"C7","NM_000587.2:310","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C8A",60,NA,"C8A","NM_000562.2:690","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C8B",61,NA,"C8B","NM_000066.2:620","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C8G",62,NA,"C8G","NM_000606.2:407","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"C9",63,NA,"C9","NM_001737.3:602","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Complement","Complement pathway, Innate immune response","","I",NA,NA
"CAMP",64,NA,"CAMP","NM_004345.3:220","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Inflammatory response","CAP18, FALL39, FALL-39, LL37","F",NA,NA
"CARD11",65,NA,"CARD11","NM_032415.2:1075","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Regulation of immune response","CARMA1, BIMP3",NA,NA,NA
"CARD9",66,NA,"CARD9","NM_052813.4:1525","Endogenous","Immune Response","iDC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","","I","iDC",NA
"CASP1",67,NA,"CASP1","NM_001223.3:971","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","IL1BC, ICE","I",NA,NA
"CASP10",68,NA,"CASP10","NM_032977.3:20","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","MCH4","I",NA,NA
"CASP3",69,NA,"CASP3","NM_032991.2:685","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Cell Cycle, Regulation","Cell cycle checkpoint and cell cycle arrest, Co-Regulators of autophagy and apoptosis/cell cycle, Negative regulation of cell cycle","CPP32, CPP32B, Yama, apopain",NA,NA,NA
"CASP8",70,NA,"CASP8","NM_001228.4:301","Endogenous","Immune Response","Tcm",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","MCH5, MACH, FLICE, Casp-8","I",NA,NA
"CC2D1B",71,NA,"CC2D1B","NM_032449.2:4182","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","KIAA1836",NA,NA,NA
"CCL1",72,NA,"CCL1","NM_002981.1:157","Endogenous","Immune Response - Cell Type specific","aDC",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA1, I-309, TCA3, P500, SISe","F",NA,NA
"CCL11",73,NA,"eotaxin","NM_002986.2:378","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors, Chronic inflammatory response","SCYA11, eotaxin, MGC22554","F",NA,NA
"CCL13",74,NA,"CCL13","NM_005408.2:320","Endogenous","Immune Response - Cell Type specific","DC",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA13, MCP-4, NCC-1, SCYL1, CKb10, MGC17134","F","DC","DC"
"CCL14",75,NA,"CCL14","NM_032963.3:274","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","SCYA14, HCC-1, HCC-3, NCC-2, SCYL2, CKb1, MCIF",NA,NA,NA
"CCL15",76,NA,"CCL15","NM_032965.3:112","Endogenous","Immune Response",NA,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Adaptive immune response, Chemokines and receptors, Inflammatory response","SCYA15, HCC-2, NCC-3, SCYL3, MIP-5, Lkn-1, MIP-1d, HMRP-2B","A;F",NA,NA
"CCL16",77,NA,"CCL16","NM_004590.2:367","Endogenous","Immune Response",NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response, Humoral immune response","SCYA16, NCC-4, SCYL4, LEC, HCC-4, LMC, LCC-1, CKb12, Mtn-1","F;H",NA,NA
"CCL17",78,NA,"CCL17","NM_002987.2:229","Endogenous","Immune Response - Cell Type specific","DC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Cell Type specific, Chemokines and receptors, Inflammatory response","SCYA17, TARC, ABCD-2",NA,NA,NA
"CCL18",79,NA,"CCL18","NM_002988.2:585","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors, Anti-inflammatory cytokines","SCYA18, DC-CK1, PARC, AMAC-1, DCCK1, MIP-4, CKb7",NA,NA,NA
"CCL19",80,NA,"CCL19","NM_006274.2:401","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Anti-inflammatory cytokines, Regulation of inflammatory response","SCYA19, ELC, MIP-3b, exodus-3, CKb11",NA,NA,NA
"CCL2",81,NA,"MCP-1","NM_002982.3:123","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors, Humoral immune response","SCYA2, MCP1, MCP-1, MCAF, SMC-CF, GDCF-2, HC11, MGC9434","H",NA,NA
"CCL20",82,NA,"CCL20","NM_004591.1:35","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","SCYA20, LARC, MIP-3a, exodus-1, ST38, CKb4",NA,NA,NA
"CCL21",83,NA,"CCL21","NM_002989.2:180","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Anti-inflammatory cytokines, Regulation of inflammatory response","SCYA21, SLC, exodus-2, TCA4, CKb9, 6Ckine, ECL",NA,NA,NA
"CCL22",84,NA,"MDC","NM_002990.3:797","Endogenous","Immune Response - Cell Type specific","DC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Chemokines, Pathogen Defense","Cell Type specific, Chemokines and receptors, Defense response to virus","SCYA22, MDC, STCP-1, ABCD-1, DC/B-CK, A-152E5.1, MGC34554",NA,NA,NA
"CCL23",85,NA,"CCL23","NM_145898.1:336","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYA23, Ckb-8, MPIF-1, MIP-3, CKb8","F",NA,NA
"CCL24",86,NA,"eotaxin-2","NM_002991.2:18","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chemokines, Regulation","Chemokines and receptors, Regulation of inflammatory response","SCYA24, Ckb-6, MPIF-2, eotaxin-2, MPIF2","F",NA,NA
"CCL25",87,NA,"CCL25","NM_005624.2:325","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines, Complement","Chemokines and receptors, Complement pathway, Inflammatory response","SCYA25, TECK, Ckb15","F",NA,NA
"CCL26",88,NA,"CCL26","NM_006072.4:184","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors, Inflammatory response","SCYA26, MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1","F",NA,NA
"CCL27",89,NA,"CCL27","NM_006664.2:304","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","SCYA27, ALP, ILC, CTACK, skinkine, ESkine, PESKY, CTAK",NA,NA,NA
"CCL28",90,NA,"CCL28","NM_148672.2:100","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","SCYA28, MEC, CCK1",NA,NA,NA
